"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
9065,Q-1192-F7969,FIRESTOP,17 Aug 2017,IQ,Al A.E.,P-135 Al Ghurair Ref : SS/17LPO/1100,Supply Of INSS1440 And D64T50,Firestop/ DC 315,Fire,1588,AED,Samar T.,Order
9066,Q-1192-F7968,FIRESTOP,16 Aug 2017,IQ,Jumairah L.I.,FIRESTOPPING PROJECT,Supply Of INSS0285-600ml,Firestop/ DC 315,Fire,13,AED,Samar T.,Quotation
9067,Q-1192-F7880A,FIRESTOP,16 Aug 2017,IQ,Tiger C.C.,Tiger Contracting Project Site : 171 LPO 11064,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,70200,AED,Waleed B.M.,Order
9068,Q-1192-F7800A,FIRESTOP,15 Aug 2017,IQ,Siemens L.,13OP03015-ADCO Project ASAB Order #4507693303,SUPPLY OF FP04+,Firestop/ DC 315,Fire,13475,AED,Samar T.,Order
9069,Q-1192-F7967,FIRESTOP,14 Aug 2017,IQ,Fibrex C.L.,FIRESTOPPING PROJECT,Supply Of INSS2460-600ml Sausage,Firestop/ DC 315,Fire,31.5,AED,Samar T.,Quotation
9070,Q-1192-F7783A,FIRESTOP,14 Aug 2017,IQ,Becon M.W.,FIRESTOPPING PROJECT,SUPPLY OF INSS2460,Firestop/ DC 315,Fire,37200,AED,Waleed B.M.,Quotation
9071,Q-1192-C6081,FIRESTOP,14 Aug 2017,IQ,Al R.I.,Dubco Project,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,239512,AED,Karim E.,Order
9072,Q-1192-F7966,FIRESTOP,13 Aug 2017,IQ,Silver C.M.,FIRESTOPPING PROJECT LPO SCMW/LP/17/00360,Supply Of INSS1440 And INSS2460,Firestop/ DC 315,Fire,640,AED,Samar T.,Order
9073,Q-1192-F7965,FIRESTOP,13 Aug 2017,IQ,China S.C.,Silicon Park Project,Supply Of INSS2460 600ML,Firestop/ DC 315,Fire,32,AED,Samar T.,Quotation
9074,Q-1192-F7783A,FIRESTOP,10 Aug 2017,IQ,Becon M.W.,FIRESTOPPING PROJECT,SUPPLY OF INSS2460,Firestop/ DC 315,Fire,30,AED,Waleed B.M.,Quotation
9075,Q-1192-C6080,FIRESTOP,10 Aug 2017,IQ,Al R.I.,Dubco Project,SUPPLY OF MV LAPOLLA 2500/3,Polyurethane Foam,Chemicals,82908,AED,Karim E.,Order
9076,Q-1192-F7964,FIRESTOP,10 Aug 2017,IQ,Naresco C.L.,S # 135 (AKOYA) Site Requesition # 97547 (LPO # 2503),Supply Of INSS1186 And D54T50,Firestop/ DC 315,Fire,5904,AED,Waleed B.M.,Order
9077,Q-1192-F7963,FIRESTOP,10 Aug 2017,IQ,The A.C.,"G+3 On Plot No. 313-431 Hamriya, Dubai (Ref:67-02/Ghurair-MW/2016)",SUPPLY OF INSS1186 And INSS0285,Firestop/ DC 315,Fire,18420,AED,Samar T.,Order
9078,Q-1192-F7962,FIRESTOP,09 Aug 2017,IQ,Al H.C.,P140-10 2B+G+2P+18+R HOTEL BLDG ON PLOT 346-556 @ BUSINESS BAY PO0035667,Supply Of MEP Materials,Firestop/ DC 315,Fire,8264,AED,Waleed B.M.,Order
9079,Q-1192-C6079,FIRESTOP,09 Aug 2017,IQ,Al R.I.,DUBCO PROJECT,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,55272,AED,Karim E.,Order
