poNumber,poDate,poName,supplier,originalValue,currency,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,year,month,yearMonth,valueUSD,poSpendUSD,poType,changeOrderGroup,changeOrderTotal,project
RFPO-5532-V40004-1,19 Jun 2023,PO for EXHAUST FAN,"ShanDong JinDun Energy Conservation&Environmental Protection Equipment Co., Ltd.",2236.0,USD,5532,6415,V40004,MACRO,Various,Various,1,False,2023,6,2023-06,2236.0,2236.0,Base PO,1,1,PO for EXHAUST FAN
RFPO-5532-T1002-1,19 Jun 2023,PO for Additional items for Manual Total Station,GECO ENGINEERING EQUIPMENTS TRADING L.L.C,2257.5,AED,5532,6418,T1002,MACRO,Tools,Tools,1,False,2023,6,2023-06,614.7,614.7,Base PO,1,1,PO for Additional items for Manual Total Station
RFPO-5684-S9032-1,16 Jun 2023,PO for Acoustical Tiles,Westside Building Material,2262.5339999999997,USD,5684,6414,S9032,MVL SOLUTIONS,Services,Services,1,False,2023,6,2023-06,2262.5339999999997,2262.5339999999997,Base PO,1,1,PO for Acoustical Tiles
RFPO-4814-V40006-1,15 Jun 2023,PO for THIRD PARTY INSPECTION OF BLAST RATED ALMINUM WINDOWS,TUV SUD MIDDLE EAST LLC,1000.0,AED,4814,6411,V40006,MACRO,Firestop/ DC 315,Fire,1,False,2023,6,2023-06,272.29,272.29,Base PO,1,1,Order No. GLOBAL-20190408-03
PO-1005-V7058-1,15 Jun 2023,PO for COMPRESSED AIR PIPE FITTINGS,TIC LIGHT ELECTRICAL CORP,2336.9100000000003,USD,1005,6410,V7058,MVL VENTURES,Firestop/ DC 315,Fire,1,False,2023,6,2023-06,2336.9100000000003,2336.9100000000003,Base PO,1,1,GLOBAL Order NO. 20190322-02
RFPO-5581-V40004B-1,15 Jun 2023,PO for Solmax HDPE Membrane 2.0mm Black Smooth; manufactured in compliance with project specifications and enclosed Technical Data Sheet.,Arabian Environmental Construction Company (AEC),89324.0,USD,5581,6412,V40004B,MVL USA JV LLC,Various,Various,1,False,2023,6,2023-06,89324.0,89324.0,Base PO,1,1,PO for Solmax HDPE Membrane 2.0mm Black Smooth; manufactured in compliance with project specifications and enclosed Technical Data Sheet.
RFPO-1005-M7066-1,15 Jun 2023,PO for AIR COOLED CHILLERS. REF. CH-A-1. MODEL: RWC 55. CAL. CAP (KW): 14.6,Khaled Asaad Jamjoom Contracting Establishment,465725.0,SAR,1005,6413,M7066,MICRON,Mechanical,Mechanical,1,False,2023,6,2023-06,124193.33,124193.33,Base PO,1,1,PO for AIR COOLED CHILLERS. REF. CH-A-1. MODEL: RWC 55. CAL. CAP (KW): 14.6
RFPO-1005-E7058-1,14 Jun 2023,PO for CAT 6 Cable,ALC ADVANCED LIGHTING COMPANY,13620.0,SAR,1005,6407,E7058,MICRON,Electrical,Electrical,1,False,2023,6,2023-06,3632.0,3632.0,Base PO,1,1,PO for CAT 6 Cable
RFPO-4814-V40004-2,14 Jun 2023,PO for THIRD PARTY INSPECTION OF STEEL DOORS,TUV SUD MIDDLE EAST LLC,2100.0,AED,4814,6364,V40004,MACRO,Various,Various,2,True,2023,6,2023-06,571.82,571.82,Change Order,2,2,PO for THIRD PARTY INSPECTION OF STEEL DOORS
RFPO-5193-V40004-1,14 Jun 2023,PO for THIRD PARTY INSPECTION OF STEEL WINDOWS,TUV SUD MIDDLE EAST LLC,850.0,AED,5193,6409,V40004,MACRO,Various,Various,1,False,2023,6,2023-06,231.45,231.45,Base PO,1,1,PO for THIRD PARTY INSPECTION OF STEEL WINDOWS
RFPO-1569-O47A-1,12 Jun 2023,PO for DNV Techno Commercial Proposal for PO for MVL COMPLIANCE WITH NIST SP 800-171 REQUIREMENTS,DNV BUSINESS ASSURANCE Group AS Dubai Branch,53500.0,AED,1569,6404,O47A,MACRO,Office Assets,Office Assets,1,False,2023,6,2023-06,14567.73,14567.73,Base PO,1,1,PO for DNV Techno Commercial Proposal for PO for MVL COMPLIANCE WITH NIST SP 800-171 REQUIREMENTS
RFPO-1005-M7064-2,12 Jun 2023,"PO for AUTOMATIC SMOKE DAMPERS, BALANCING DAMPERS, DUCT ACCESS DOORS",Joint Gulf Business Establishment,34636.0,SAR,1005,6249,M7064,MICRON,Computer Peripherals,Office Assets,2,True,2023,6,2023-06,9236.27,9236.27,Change Order,2,2,Supply Of  ESET Endpoint Protection Advanced Renewal For A Year
