No,Order Number,Order Date,Client Name,Supply of,Destination
60,ORD-7029,"Jun 04, 2024",Us A.,"JPN-135	FA520919RA006	IDIQ MACC HONSHU, JAPAN AND YOKOTA AB ...",YOKOTA
61,ORD-7027,"Jun 04, 2024",Dg M.N.,"BIOT-121.63 N4008424F4424 QC3010 REPLACE HVAC SYSTEM, F-161 ...",DIEGO GARCIA
62,ORD-7010,"May 21, 2024",Dg M.N.,"BIOT-121.65 N4008424R8904  QC2035 REPAIR TO RADAR TOWER, F-8...",DIEGO GARCIA
63,ORD-6952,"Apr 23, 2024",Dg M.N.,BIOT-121.62 N4008424F4368 QC3005 - PROVIDE SUPPORT TO NMCB T...,D. GARCIA
64,ORD-6852,"Feb 07, 2024",Dg M.N.,BIOT-121.35 N4008424F4221 QC8067-Repair to fuel piping syste...,D. GARCIA
65,ORD-6841,"Feb 01, 2024",Dg M.N.,"BIOT-121.54 N4008424F4212 QS6063 - REPLACE AC UNIT, UPH-23, ...",D. GARCIA
66,ORD-6746,"Dec 06, 2023",Navfac F.E.,BIOT-121.55 N4008424F4084 X019 QN7003 - REPAIRS TO BASE POOL...,D. GARCIA
67,ORD-6718,"Nov 17, 2023",Navfac F.E.,BIOT-121.48 N4008424F4064 EPROJECT 1718005 QC2011 REPLACE AD...,D. GARCIA
68,ORD-6705,"Sep 11, 2023",Usace- H.D.,"RMI-125 W9128A23C0010 FY23 MCA PN 080242 Medical Clinic, U.S...",MARSHAL ISLANDS
69,ORD-6680,"Sep 27, 2023",Usace J.D.,"JPN-127 W912HV23B0011 Repair Kitchen Ducts, Various Location...",JAPAN
70,ORD-6669,"Oct 24, 2023",Usace -.T.,QAT-206 CSOF BDLG 6885 - HVAC SYSTEM REPAIR,Doha
71,ORD-6648,"Sep 30, 2023",Usace -.M.,KUW-129.65 W5J9JE23F0020 Apron Transition Pavment Repairs,CAMP ARIFJAN
72,ORD-6646,"Sep 29, 2023",Usace S.,USA-155.01 W912HN23F3016 Replace Various Main Post Roofs,FT. MOORE GA
73,ORD-6645,"Sep 29, 2023",Usace S.,"USA-155.02 W912HN23F3014 Roofs B-2408, 2873, 2818, 2785, 878...",FT. MOORE GA
74,ORD-6544,"Aug 25, 2023",Navfac F.E.,BIOT-121.49 N4008423F4678 QC2025 REPAIRS TO FACILITY 824,D. GARCIA
75,ORD-6542,"Aug 09, 2023",Us A.,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 and 119 at Oki...",JAPAN
76,ORD-6505,"Jul 19, 2023",Us A.,UAE-135AP FA570623F0013 DHAF 17-0007 Install Cathodic Protec...,UAE
77,ORD-6481,"Aug 01, 2023",Us A.,QAT-203.23 FA570223F0081 20-0137 Repair Airfield LED Lightin...,QATAR
78,ORD-6458,"Jul 17, 2023",Us A.,QAT-203.28 FA570223F0080 22-0011 Repair Communication Manhol...,AUAB
