orderId,mainOrderId,poNumber,groupTotalValueUSD,groupPOCount
RFPO-7139-E6811,7139,RFPO-7139-E6811-2,11200.0,2
RFPO-6705-V40079,6705,RFPO-6705-V40079-1,149811.32,2
RFPO-6705-V40079,6705,RFPO-6705-V40079-2,149811.32,2
RFPO-7039-V40020,7039,RFPO-7039-V40020-1,2980.0,2
RFPO-7039-V40020,7039,RFPO-7039-V40020-2,2980.0,2
RFPO-6705-E6814,6705,RFPO-6705-E6814-1,2439.89,2
RFPO-6705-E6814,6705,RFPO-6705-E6814-2,2439.89,2
RFPO-6705-M4018,6705,RFPO-6705-M4018-1,3647.0,2
RFPO-6705-M4018,6705,RFPO-6705-M4018-2,3647.0,2
RFPO-6705-V40071,6705,RFPO-6705-V40071-1,45275.38,2
RFPO-6705-V40071,6705,RFPO-6705-V40071-2,45275.38,2
RFPO-7139-E6805,7139,RFPO-7139-E6805-1,134742.78,2
RFPO-7139-E6805,7139,RFPO-7139-E6805-2,134742.78,2
RFPO-7414-P4800,7414,RFPO-7414-P4800-1,1605.44,2
RFPO-7414-P4800,7414,RFPO-7414-P4800-2,1605.44,2
RFPO-7139-M4005,7139,RFPO-7139-M4005-1,12440.0,2
RFPO-7139-M4005,7139,RFPO-7139-M4005-2,12440.0,2
RFPO-6705-V40076,6705,RFPO-6705-V40076-1,41659.52,2
RFPO-6705-V40076,6705,RFPO-6705-V40076-2,41659.52,2
RFPO-7139-V40022,7139,RFPO-7139-V40022-1,7298.11,2
RFPO-7139-V40022,7139,RFPO-7139-V40022-2,7298.11,2
RFPO-6705-E6806,6705,RFPO-6705-E6806-1,389515.82,2
RFPO-6705-E6806,6705,RFPO-6705-E6806-2,389515.82,2
RFPO-6705-V40063,6705,RFPO-6705-V40063-1,18006.72,2
RFPO-6705-V40063,6705,RFPO-6705-V40063-3,18006.72,2
RFPO-6705-V40057A,6705,RFPO-6705-V40057A-1,442.5,2
RFPO-6705-V40057A,6705,RFPO-6705-V40057A-2,442.5,2
RFPO-6705-V40048,6705,RFPO-6705-V40048-1,36727.9,2
RFPO-6705-V40048,6705,RFPO-6705-V40048-2,36727.9,2
RFPO-7139-V4351,7139,RFPO-7139-V4351-1,31018.0,2
RFPO-7139-V4351,7139,RFPO-7139-V4351-2,31018.0,2
RFPO-7139-V40002,7139,RFPO-7139-V40002-1,2840.0,2
RFPO-7139-V40002,7139,RFPO-7139-V40002-2,2840.0,2
RFPO-5829-S9103,5829,RFPO-5829-S9103-1,1732.5,2
RFPO-5829-S9103,5829,RFPO-5829-S9103-2,1732.5,2
RFPO-1569-V4421,1569,RFPO-1569-V4421-1,1497.61,2
RFPO-1569-V4421,1569,RFPO-1569-V4421-2,1497.61,2
RFPO-6705-V40021,6705,RFPO-6705-V40021-1,18269.0,2
RFPO-6705-V40021,6705,RFPO-6705-V40021-2,18269.0,2
RFPO-5657-V40016,5657,RFPO-5657-V40016-1,47412.0,2
RFPO-5657-V40016,5657,RFPO-5657-V40016-2,47412.0,2
RFPO-6705-M4008A,6705,RFPO-6705-M4008A-1,401945.2,2
RFPO-6705-M4008A,6705,RFPO-6705-M4008A-2,401945.2,2
RFPO-6705-E6800,6705,RFPO-6705-E6800-1,55320.0,2
RFPO-6705-E6800,6705,RFPO-6705-E6800-2,55320.0,2
RFPO-7204-E6800,7204,RFPO-7204-E6800-1,22465.95,2
RFPO-7204-E6800,7204,RFPO-7204-E6800-2,22465.95,2
RFPO-5532-V40040,5532,RFPO-5532-V40040-1,164571.55,3
RFPO-5532-V40040,5532,RFPO-5532-V40040-2,164571.55,3
RFPO-5532-V40040,5532,RFPO-5532-V40040-3,164571.55,3
RFPO-5532-V40041,5532,RFPO-5532-V40041-1,54850.5,3
RFPO-5532-V40041,5532,RFPO-5532-V40041-2,54850.5,3
RFPO-5532-V40041,5532,RFPO-5532-V40041-3,54850.5,3
RFPO-5532-M4024,5532,RFPO-5532-M4024-1,558398.0,2
RFPO-5532-M4024,5532,RFPO-5532-M4024-2,558398.0,2
RFPO-6705-V40017,6705,RFPO-6705-V40017-1,48633.33,2
RFPO-6705-V40017,6705,RFPO-6705-V40017-2,48633.33,2
RFPO-6746-V40002,6746,RFPO-6746-V40002-1,6816.72,2
RFPO-6746-V40002,6746,RFPO-6746-V40002-2,6816.72,2
RFPO-5695-M4103,5695,RFPO-5695-M4103-1,11263.0,2
RFPO-5695-M4103,5695,RFPO-5695-M4103-2,11263.0,2
RFPO-5532-V40039,5532,RFPO-5532-V40039-1,265815.52,3
RFPO-5532-V40039,5532,RFPO-5532-V40039-2,265815.52,3
RFPO-5532-V40039,5532,RFPO-5532-V40039-3,265815.52,3
RFPO-6705-V40007,6705,RFPO-6705-V40007-1,24630.79,2
RFPO-6705-V40007,6705,RFPO-6705-V40007-2,24630.79,2
RFPO-4814-A5212,4814,RFPO-4814-A5212-1,14295.44,2
RFPO-4814-A5212,4814,RFPO-4814-A5212-2,14295.44,2
RFPO-5829-M4103A,5829,RFPO-5829-M4103A-1,76378.49,2
RFPO-5829-M4103A,5829,RFPO-5829-M4103A-2,76378.49,2
RFPO-6746-E6800,6746,RFPO-6746-E6800-1,33344.02,2
RFPO-6746-E6800,6746,RFPO-6746-E6800-2,33344.02,2
RFPO-5193-A5206,5193,RFPO-5193-A5206-1,5448.0,2
RFPO-5193-A5206,5193,RFPO-5193-A5206-2,5448.0,2
RFPO-6542-V40001,6542,RFPO-6542-V40001-1,86874.0,2
