poNumber,poDate,poName,supplier,entity,project,material,materialCode,value,currency,year,month,mainOrderId,orderId,poType
RFPO-7139-E6801-1,03 Jun 2025,PO for ATCT COSA Electrical,TIC LIGHT ELECTRICAL CORP,MACRO,PO for ATCT COSA Electrical,Electrical,Electrical,66586.69,USD,2025,6,7139,RFPO-7139-E6801,Base PO
RFPO-7139-E6803-1,03 Jun 2025,PO for Live End Seal - TE HVES-1521D,WESCO Distribution Inc,MACRO,PO for Live End Seal - TE HVES-1521D,Electrical,Electrical,3136.995,USD,2025,6,7139,RFPO-7139-E6803,Base PO
RFPO-7039-V40011-2,02 Jun 2025,PO for Fire Extinguishers,Leeds Services Co. Pte Ltd.,MACRO,PO for Fire Extinguishers,Various,Various,2560.0,USD,2025,6,7039,RFPO-7039-V40011,Change Order
RFPO-6852-V40025-1,02 Jun 2025,PO for Fuel Impermeable Liner,Arabian Environmental Construction Company (AEC),MVL USA JV LLC,PO for Fuel Impermeable Liner,Various,Various,28857.0,USD,2025,6,6852,RFPO-6852-V40025,Base PO
RFPO-6852-V40026-1,02 Jun 2025,PO for Tech Rep & Site Supervisor for installation support,Arabian Environmental Construction Company (AEC),MVL USA JV LLC,PO for Tech Rep & Site Supervisor for installation support,Various,Various,53000.0,USD,2025,6,6852,RFPO-6852-V40026,Base PO
RFPO-5532-V40066-1,29 May 2025,PO for Aggregates and Cement - June Vessel,Leeds Services Co. Pte Ltd.,MACRO,PO for Aggregates and Cement - June Vessel,Various,Various,154050.0,USD,2025,5,5532,RFPO-5532-V40066,Base PO
RFPO-5532-V40071-1,29 May 2025,PO for Additional laboratory tools (for Concrete Laboratory),Humboldt Mfg Co,MVL USA JV LLC,PO for Additional laboratory tools (for Concrete Laboratory),Various,Various,60581.75,USD,2025,5,5532,RFPO-5532-V40071,Base PO
RFPO-5695-V40017-1,29 May 2025,PO for Hardware,POWERFIT INDUSTRIAL PTE LTD,MVL USA JV LLC,PO for Hardware,Various,Various,15579.15,USD,2025,5,5695,RFPO-5695-V40017,Base PO
RFPO-7039-E6806-1,29 May 2025,PO for Grounding and Pullrope,WESCO Distribution Inc,MACRO,PO for Grounding and Pullrope,Electrical,Electrical,98527.97,USD,2025,5,7039,RFPO-7039-E6806,Base PO
RFPO-6705-V40087-1,29 May 2025,PO for  COSA roofing materials,HOME DEPOT USA,MACRO,PO for  COSA roofing materials,Various,Various,1378.1,USD,2025,5,6705,RFPO-6705-V40087,Base PO
RFPO-6705-V40086-1,29 May 2025,PO for RSC Conduits and Fittings,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,PO for RSC Conduits and Fittings,Various,Various,18825.96,USD,2025,5,6705,RFPO-6705-V40086,Base PO
RFPO-6705-V40088-1,29 May 2025,PO for PVC DWV pipe and Fittings for Sanitary & Storm Water under SOG,American International Supply Inc.,MACRO,PO for PVC DWV pipe and Fittings for Sanitary & Storm Water under SOG,Various,Various,22460.08,USD,2025,5,6705,RFPO-6705-V40088,Base PO
RFPO-7208-M4102-1,29 May 2025,PO for Ball Valve,Morex Inc.,MACRO,PO for Ball Valve,Mechanical,Mechanical,1012.36,USD,2025,5,7208,RFPO-7208-M4102,Base PO
RFPO-7039-V40016-1,28 May 2025,PO for Anchor bolts,Fastener Point LLC,MACRO,PO for Anchor bolts,Various,Various,1482.97,USD,2025,5,7039,RFPO-7039-V40016,Base PO
RFPO-7039-E6805-1,27 May 2025,PO for Spacers(Telecom),Bahra Advanced Cable Manufacture Co. Ltd.,MACRO,PO for Spacers(Telecom),Electrical,Electrical,37286.67,USD,2025,5,7039,RFPO-7039-E6805,Base PO
RFPO-5532-V40067A-1,26 May 2025,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,PO for Electrical Materials,Various,Various,6776.7955,USD,2025,5,5532,RFPO-5532-V40067A,Base PO
RFPO-5581-A5202-1,26 May 2025,PO for Non tempered Glass,Lakshmi Metal Tech LLC,MACRO,PO for Non tempered Glass,Architectural,Architectural,626.28,USD,2025,5,5581,RFPO-5581-A5202,Base PO
RFPO-7044-E6800-1,26 May 2025,PO for Panel Board,Benfield Electric International Ltd.,MACRO,PO for Panel Board,Electrical,Electrical,10468.0,USD,2025,5,7044,RFPO-7044-E6800,Base PO
RFPO-7208-V40009-1,26 May 2025,PO for Ground  Items,Extol International FZC,MACRO,PO for Ground  Items,Various,Various,284.28,USD,2025,5,7208,RFPO-7208-V40009,Base PO
RFPO-7208-V40010-1,26 May 2025,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,PO for Electrical Materials,Various,Various,46743.76,USD,2025,5,7208,RFPO-7208-V40010,Base PO
