RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
58,RFPO-7139-V40064-1,06 Jan 2026,PO for Trench Boxes with Accessories ,ALLEN TRENCH SAFETY CORPORATION,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,33102.75,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
59,RFPO-7139-V4358-1,06 Jan 2026,PO for RT29 Radio,YSAIR HONGKONG HOLDINGS LIMITED,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,995.7,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
60,RFPO-1005-V7264-1,06 Jan 2026,PO for PVC Pipes & Fittings,HOLBROOK PIPE SUPPLY INC.,MICRON,SUPPLY OF FRP PIPES,Fit Out Project,Construction,11906.67,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
61,RFPO-7139-E6822-1,05 Jan 2026,PO for PVC coated conduits,Benfield Electric International Ltd.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,54944.13,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
62,RFPO-5829-V40038-1,02 Jan 2026,"PO for Air Pavement - Epoxy-Coated Dowel Bars (410mm x 25mm)  and Welded Wire Mesh (150x150x07x07mm, 2.4m x 4.8m sheets)",Unitech Di Pipes & Fittings Mfg. LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,57755.5,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
63,RFPO-6705-V4362-2,24 Dec 2025,PO for Confined Space Kit,Industrial Safety Products,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,1756.9,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
64,RFPO-8206-O1-1,24 Dec 2025,PO for Lenovo Business Laptop,Kyoto Technologies,MACRO,"ORD-8206 JPN-158 GNFR-FC KAD-25-23130 Navy Exchange Services Command (NEXCOM) Navy Gateway Inns And Suites (NGIS) Central Lodging Project At Kadena Air Base - Okinawa, Japan",Computer Peripherals,General,12907.02,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
65,RFPO-7073-V40013-1,19 Dec 2025,PO for Gaskets,"Smith International Gulf Services, LLC",MVL USA JV LLC,"BIOT-121.68/26 N4008424F4583 - X026 REPAIRS TO CONCRETE WATER TANK F-1655, F-308 &amp; F-1505",Subcontract,Services,5052.12,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
66,RFPO-5532-V4378-1,19 Dec 2025,PO for Plan Swift 11 Measurements & QTY Takeoff Software -  Perpetual License - Marte Alzate,Green Figure Technique,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,2009.57,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
67,RFPO-6852-V40037-1,19 Dec 2025,PO for Fuel System Repair Materials,Jet Fuel Specialists LLC,MVL USA JV LLC,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,Construction,23112.64,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
68,RFPO-6705-V40163-1,18 Dec 2025,"PO for STAINLESS STEEL SS316, ASTM A312, SCH40 WELDED PIPES",PENN STAINLESS PRODUCTS,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,2830.61,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
69,RFPO-7139-V40063-1,18 Dec 2025,PO for JFVD78922 - Preshipment Inspection - Coaster 19 seats bus MD6601 and Two years wearing spare parts list,V-Trust Inspection Service Co. Ltd.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,268.0,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
70,RFPO-5532-V4377-1,17 Dec 2025,PO for Magnet Sticker Panels - 210 × 120 cm - Estimate 3302,Alelham Consultancy LLC,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,996.62,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
71,RFPO-7139-V40059-1,17 Dec 2025,PO for INV-JFVD72671 - Preshipment Inspection - DONGFENG 190HP Truck Mounted XCMG 6.3Ton Crane and Spare Parts,V-Trust Inspection Service Co. Ltd.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,268.0,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
72,RFPO-7212-V40017-1,17 Dec 2025,PO for Gas Detector system & Controls,BMS Btech Switchgear,"MVL USA, INC","ORD-7212 JPN-143 W912HV24C0010 FY23 OMA, Convert Vehicle Storage Warehouse, B122-S1",Building Materials,Construction,8060.08,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
73,RFPO-7139-V40036-2,17 Dec 2025,PO for Mechanic Shop Tools,Dateline Exports Inc.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,32410.31,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
74,RFPO-7139-V40062-1,17 Dec 2025,PO for Ductile Iron Pipe and Fittings ,Cimmaron International Corporation,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,23402.52,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
75,RFPO-6705-V40162-1,17 Dec 2025,PO for Ductile Iron Pipe and Fittings ,Cimmaron International Corporation,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,7472.62,USD,2025,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
