orderId,poCount,totalValueUSD,poNumbers,mainOrderId
8161,2,102167.46,RFPO-6705-M4026-1; RFPO-6705-M4026-2,6705
8063,2,9819.98,RFPO-7139-V40040-1; RFPO-7139-V40040-2,7139
8037,2,213400.0,RFPO-7139-S9130-1; RFPO-7139-S9130-2,7139
7674,2,15689.84,RFPO-6705-V40061-1; RFPO-6705-V40061-2,6705
7812,2,37736.42,RFPO-6705-V40086-1; RFPO-6705-V40086-2,6705
7920,2,136866.91,RFPO-6718-V40029-1; RFPO-6718-V40029-2,6718
7921,2,28499.15,RFPO-6718-V40030-1; RFPO-6718-V40030-2,6718
7586,2,9725.1,RFPO-6718-V40019-1; RFPO-6718-V40019-2,6718
7649,2,22088.59,RFPO-7139-V40010A-1; RFPO-7139-V40010A-2,7139
7873,2,7549.0,RFPO-7039-M4101-1; RFPO-7039-M4101-2,7039
7493,2,71427.15,RFPO-6705-V40028-1; RFPO-6705-V40028-2,6705
7928,2,42190.1,RFPO-5532-T1003-1; RFPO-5532-T1003-2,5532
7787,2,283139.14,RFPO-7098-E6802-1; RFPO-7098-E6802-2,7098
7961,2,133438.4,RFPO-7139-V40031-1; RFPO-7139-V40031-3,7139
